type	sentence	t_verb	f_verb	verb_index
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the executive is old	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the executive is young	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the executive is short	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the executive is happy	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the executive is sad	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the executive is angry	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the parent lives	lives	live	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the parent runs	runs	run	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the parent speaks	speaks	speak	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the parent thinks	thinks	think	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the parent walks	walks	walk	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the parent is tall	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the parent is old	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the parent is young	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the parent is short	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the parent is happy	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the parent is sad	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the parent is angry	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the guard lives	lives	live	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the guard runs	runs	run	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the guard speaks	speaks	speak	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the guard thinks	thinks	think	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the guard walks	walks	walk	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the guard is tall	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the guard is old	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the guard is young	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the guard is short	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the guard is happy	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the guard is sad	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the guard is angry	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the architect lives	lives	live	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the architect runs	runs	run	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the architect speaks	speaks	speak	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the architect thinks	thinks	think	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the architect walks	walks	walk	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the architect is tall	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the architect is old	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the architect is young	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the architect is short	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the architect is happy	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the architect is sad	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the architect is angry	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the dancer lives	lives	live	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the dancer runs	runs	run	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the dancer speaks	speaks	speak	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the dancer thinks	thinks	think	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the dancer walks	walks	walk	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the dancer is tall	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the dancer is old	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the dancer is young	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the dancer is short	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the dancer is happy	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the dancer is sad	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the dancer is angry	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the artist lives	lives	live	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the artist runs	runs	run	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the artist speaks	speaks	speak	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the artist thinks	thinks	think	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the artist walks	walks	walk	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the artist is tall	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the artist is old	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the artist is young	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the artist is short	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the artist is happy	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the artist is sad	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the artist is angry	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the minister lives	lives	live	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the minister runs	runs	run	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the minister speaks	speaks	speak	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the minister thinks	thinks	think	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the minister walks	walks	walk	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the minister is tall	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the minister is old	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the minister is young	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the minister is short	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the minister is happy	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the minister is sad	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the minister is angry	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the taxi driver lives	lives	live	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the taxi driver runs	runs	run	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the taxi driver speaks	speaks	speak	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the taxi driver thinks	thinks	think	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the taxi driver walks	walks	walk	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the taxi driver is tall	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the taxi driver is old	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the taxi driver is young	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the taxi driver is short	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the taxi driver is happy	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the taxi driver is sad	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the taxi driver is angry	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the executive lives	lives	live	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the executive runs	runs	run	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the executive speaks	speaks	speak	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the executive thinks	thinks	think	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the executive walks	walks	walk	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the executive is tall	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the executive is old	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the executive is young	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the executive is short	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the executive is happy	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the executive is sad	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the executive is angry	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the parent lives	lives	live	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the parent runs	runs	run	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the parent speaks	speaks	speak	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the parent thinks	thinks	think	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the parent walks	walks	walk	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the parent is tall	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the parent is old	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the parent is young	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the parent is short	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the parent is happy	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the parent is sad	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author behind the parent is angry	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the guard lives	lives	live	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the guard runs	runs	run	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the guard speaks	speaks	speak	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the guard thinks	thinks	think	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the guard walks	walks	walk	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the guard is tall	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the guard is old	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the guard is young	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the guard is short	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the guard is happy	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the guard is sad	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the guard is angry	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the architect lives	lives	live	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the architect runs	runs	run	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the architect speaks	speaks	speak	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the architect thinks	thinks	think	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the architect walks	walks	walk	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the architect is tall	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the architect is old	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the architect is young	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the architect is short	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the architect is happy	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the architect is sad	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the architect is angry	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the dancer lives	lives	live	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the dancer runs	runs	run	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the dancer speaks	speaks	speak	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the dancer thinks	thinks	think	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the dancer walks	walks	walk	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the dancer is tall	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the dancer is old	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the dancer is young	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the dancer is short	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the dancer is happy	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the dancer is sad	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the dancer is angry	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the artist lives	lives	live	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the artist runs	runs	run	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the artist speaks	speaks	speak	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the artist thinks	thinks	think	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the artist walks	walks	walk	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the artist is tall	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the artist is old	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the artist is young	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the artist is short	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the artist is happy	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the artist is sad	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the artist is angry	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the minister lives	lives	live	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the minister runs	runs	run	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the minister speaks	speaks	speak	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the minister thinks	thinks	think	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the minister walks	walks	walk	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the minister is tall	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the minister is old	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the minister is young	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the minister is short	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the minister is happy	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the minister is sad	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the minister is angry	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the taxi driver lives	lives	live	9
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the taxi driver runs	runs	run	9
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the taxi driver speaks	speaks	speak	9
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the taxi driver thinks	thinks	think	9
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the taxi driver walks	walks	walk	9
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the taxi driver is tall	is	are	9
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the taxi driver is old	is	are	9
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the taxi driver is young	is	are	9
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the taxi driver is short	is	are	9
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the taxi driver is happy	is	are	9
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the taxi driver is sad	is	are	9
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the taxi driver is angry	is	are	9
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the executive lives	lives	live	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the executive runs	runs	run	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the executive speaks	speaks	speak	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the executive thinks	thinks	think	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the executive walks	walks	walk	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the executive is tall	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the executive is old	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the executive is young	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the executive is short	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the executive is happy	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the executive is sad	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the executive is angry	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the parent lives	lives	live	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the parent runs	runs	run	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the parent speaks	speaks	speak	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the parent thinks	thinks	think	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the parent walks	walks	walk	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the parent is tall	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the parent is old	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the parent is young	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the parent is short	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the parent is happy	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the parent is sad	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author in front of the parent is angry	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the guard lives	lives	live	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the guard runs	runs	run	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the guard speaks	speaks	speak	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the guard thinks	thinks	think	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the guard walks	walks	walk	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the guard is tall	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the guard is old	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the guard is young	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the guard is short	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the guard is happy	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the guard is sad	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the guard is angry	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the architect lives	lives	live	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the architect runs	runs	run	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the architect speaks	speaks	speak	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the architect thinks	thinks	think	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the architect walks	walks	walk	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the architect is tall	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the architect is old	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the architect is young	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the architect is short	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the architect is happy	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the architect is sad	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the architect is angry	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the dancer lives	lives	live	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the dancer runs	runs	run	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the dancer speaks	speaks	speak	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the dancer thinks	thinks	think	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the dancer walks	walks	walk	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the dancer is tall	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the dancer is old	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the dancer is young	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the dancer is short	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the dancer is happy	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the dancer is sad	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the dancer is angry	is	are	6
prep_anim.pickle_sing_MS_MV_sing_MS	the author near the artist lives	lives	live	6
